,Sector,Profits
0,Financials,26731990.0
1,Technology,17277430.0
2,Energy,10143138.0
3,Telecommunications,9956830.0
4,Health Care,9765660.0
5,Retailing,5794840.0
6,"Food, Beverages &  Tobacco",5190800.0
7,Transportation,4629560.0
8,Business Services,2883980.0
9,Household Products,2760760.0
10,Industrials,2610560.0
11,Aerospace &  Defense,2485190.0
12,Media,2258380.0
13,"Hotels, Restaurants &  Leisure",1931460.0
14,Chemicals,1840880.0
15,Motor Vehicles &  Parts,1698320.0
16,Wholesalers,1385940.0
17,Materials,1010640.0
18,Food &  Drug Stores,930430.0
19,Apparel,555390.0
20,Engineering &  Construction,545400.0
