,Sector,Revenues
0,Technology,3061202.0
1,Financials,2232306.0
2,Retailing,1583643.0
3,Health Care,1412704.0
4,Energy,1398194.0
5,Wholesalers,829333.0
6,"Food, Beverages &  Tobacco",464579.0
7,Telecommunications,459715.0
8,Industrials,428066.0
9,Motor Vehicles &  Parts,411868.0
10,Transportation,389539.0
11,Food &  Drug Stores,384245.0
12,Aerospace &  Defense,352746.0
13,Business Services,209373.0
14,Chemicals,195173.0
15,Media,188942.0
16,Materials,188096.0
17,Household Products,182367.0
18,"Hotels, Restaurants &  Leisure",133216.0
19,Engineering &  Construction,127634.0
20,Apparel,68796.0
